あいの風とやま鉄道,あいの風とやま鉄道
谷川岳ロープウエー,榛名山ロープウェイ
谷川岳ロープウエー,谷川岳ロープウェイ
豊橋鉄道,豊橋鉄道東田本線(赤岩口発着)
豊橋鉄道,豊橋鉄道東田本線(運動公園前発着)
豊橋鉄道,豊橋鉄道渥美線
近江鉄道,八幡山ロープウェー
近江鉄道,近江鉄道八日市線
近江鉄道,近江鉄道多賀線
近江鉄道,近江鉄道近江本線(八日市-貴生川)
近江鉄道,近江鉄道近江本線(米原-八日市)
近畿日本鉄道,近鉄けいはんな線
近畿日本鉄道,近鉄京伊特急
近畿日本鉄道,近鉄京奈特急
近畿日本鉄道,近鉄京橿特急
近畿日本鉄道,近鉄京都線
近畿日本鉄道,近鉄京都線(竹田-新田辺)
近畿日本鉄道,近鉄京都線急行
近畿日本鉄道,近鉄信貴線
近畿日本鉄道,近鉄南大阪線(古市-橿原神宮前)
近畿日本鉄道,近鉄南大阪線(阿部野橋-古市)
近畿日本鉄道,近鉄南大阪線急行
近畿日本鉄道,近鉄南大阪線準急
近畿日本鉄道,近鉄吉野特急
近畿日本鉄道,近鉄吉野線
近畿日本鉄道,近鉄吉野線急行
近畿日本鉄道,近鉄名伊乙特急
近畿日本鉄道,近鉄名古屋線
近畿日本鉄道,近鉄名古屋線急行
近畿日本鉄道,近鉄名古屋線準急
近畿日本鉄道,近鉄名阪乙特急
近畿日本鉄道,近鉄名阪甲特急
近畿日本鉄道,近鉄大阪線(上本町-河内国分)
近畿日本鉄道,近鉄大阪線(名張-伊勢中川)
近畿日本鉄道,近鉄大阪線区間準急
近畿日本鉄道,近鉄大阪線急行
近畿日本鉄道,近鉄天理線
近畿日本鉄道,近鉄天理線急行
近畿日本鉄道,近鉄奈良線
近畿日本鉄道,近鉄奈良線区間準急
近畿日本鉄道,近鉄奈良線快速急行
近畿日本鉄道,近鉄奈良線急行
近畿日本鉄道,近鉄山田線
近畿日本鉄道,近鉄山田線急行
近畿日本鉄道,近鉄御所線
近畿日本鉄道,近鉄志摩線
近畿日本鉄道,近鉄橿原線
近畿日本鉄道,近鉄橿原線急行
近畿日本鉄道,近鉄湯の山線
近畿日本鉄道,近鉄特急ひのとり
近畿日本鉄道,近鉄生駒ケーブル(宝山寺生駒山上)
近畿日本鉄道,近鉄生駒ケーブル(鳥居前-宝山寺)
近畿日本鉄道,近鉄生駒線
近畿日本鉄道,近鉄田原本線
近畿日本鉄道,近鉄葛城山ロープウェイ
近畿日本鉄道,近鉄西信貴ケーブル
近畿日本鉄道,近鉄道明寺線
近畿日本鉄道,近鉄鈴鹿線
近畿日本鉄道,近鉄長野線
近畿日本鉄道,近鉄阪伊乙特急(賢島発着)
近畿日本鉄道,近鉄阪伊乙特急(鳥羽発着)
近畿日本鉄道,近鉄阪奈特急
近畿日本鉄道,近鉄鳥羽線
道南いさりび鉄道,道南いさりび鉄道
遠州鉄道,遠州鉄道
野岩鉄道,野岩鉄道会津鬼怒川線
野岩鉄道,野岩鉄道特急リバティ会津
銚子電気鉄道,銚子電気鉄道
鋸山ロープウェー,鋸山ロープウェー
錦川鉄道,錦川鉄道錦川清流線
長崎ロープウェイ,長崎ロープウェイ
長崎電気軌道,長崎電気軌道１系統
長崎電気軌道,長崎電気軌道３系統
長崎電気軌道,長崎電気軌道４系統
長崎電気軌道,長崎電気軌道５系統
長良川鉄道,長良川鉄道
長野電鉄,長野電鉄特急
長野電鉄,長野電鉄長野線
関東鉄道,関東鉄道常総線
関東鉄道,関東鉄道竜ケ崎線
阪堺電気軌道,阪堺電気軌道上町線
阪堺電気軌道,阪堺電気軌道阪堺線
阪急電鉄,阪急京都本線
阪急電鉄,阪急京都本線準急
阪急電鉄,阪急京都本線特急
阪急電鉄,阪急今津線(今津-西宮北口)
阪急電鉄,阪急今津線(西宮北口-宝塚)
阪急電鉄,阪急伊丹線
阪急電鉄,阪急千里線
阪急電鉄,阪急宝塚本線
阪急電鉄,阪急宝塚本線急行
阪急電鉄,阪急嵐山線
阪急電鉄,阪急甲陽線
阪急電鉄,阪急神戸本線
阪急電鉄,阪急神戸本線特急
阪急電鉄,阪急箕面線
阪神電気鉄道,阪神なんば線
阪神電気鉄道,阪神なんば線快速急行
阪神電気鉄道,阪神山陽直通特急
阪神電気鉄道,阪神本線
阪神電気鉄道,阪神本線快速急行
阪神電気鉄道,阪神本線急行
阪神電気鉄道,阪神本線特急
阪神電気鉄道,阪神武庫川線
阿佐海岸鉄道,阿佐海岸鉄道代行バス
阿佐海岸鉄道,阿佐海岸鉄道ＤＭＶ
阿武隈急行,阿武隈急行
青い森鉄道,青い森鉄道
静岡鉄道,日本平ロープウェイ
静岡鉄道,静岡鉄道静岡清水線
養老鉄道,養老鉄道養老線(大垣-揖斐)
養老鉄道,養老鉄道養老線(桑名-大垣)
首都圏新都市鉄道,つくばエクスプレス
首都圏新都市鉄道,つくばエクスプレス区間快速
首都圏新都市鉄道,つくばエクスプレス快速
高尾登山電鉄,高尾登山電鉄高尾登山ケーブル
高松琴平電気鉄道,高松琴平電気鉄道志度線
高松琴平電気鉄道,高松琴平電気鉄道琴平線
高松琴平電気鉄道,高松琴平電気鉄道長尾線
鹿児島市交通局,鹿児島市電１系統
鹿児島市交通局,鹿児島市電２系統
鹿島臨海鉄道,鹿島臨海鉄道大洗鹿島線
黒部峡谷鉄道,黒部峡谷鉄道
ＩＧＲいわて銀河鉄道,ＩＧＲいわて銀河鉄道
ＩＲいしかわ鉄道,ＩＲいしかわ鉄道
ＪＲ,ＪＲおおさか東線
ＪＲ,ＪＲみやこ路快速
ＪＲ,ＪＲゆめ咲線
ＪＲ,ＪＲ七尾線
ＪＲ,ＪＲ三角線
ＪＲ,ＪＲ上越線(水上-長岡)
ＪＲ,ＪＲ上越線(越後湯沢-六日町)
ＪＲ,ＪＲ上越線(高崎-水上)
ＪＲ,ＪＲ上野東京ライン(常磐線直通)
ＪＲ,ＪＲ上野東京ライン(東北本線・高崎線直通)
ＪＲ,ＪＲ両毛線
ＪＲ,ＪＲ中央本線(中津川-松本)
ＪＲ,ＪＲ中央本線(名古屋-中津川)
ＪＲ,ＪＲ中央本線(岡谷-塩尻)
ＪＲ,ＪＲ中央本線(甲府-松本)
ＪＲ,ＪＲ中央本線(立川-甲府)
ＪＲ,ＪＲ中央線中央特快
ＪＲ,ＪＲ中央線快速
ＪＲ,ＪＲ中央線青梅特快
ＪＲ,ＪＲ久大本線(久留米-日田)
ＪＲ,ＪＲ久大本線(日田-由布院)
ＪＲ,ＪＲ久大本線(由布院-大分)
ＪＲ,ＪＲ久留里線
ＪＲ,ＪＲ予土線
ＪＲ,ＪＲ予讃線(伊予西条-松山)
ＪＲ,ＪＲ予讃線(八幡浜-宇和島)
ＪＲ,ＪＲ予讃線(松山-八幡浜)
ＪＲ,ＪＲ予讃線(観音寺-伊予西条)
ＪＲ,ＪＲ予讃線(高松-観音寺)
ＪＲ,ＪＲ五日市線
ＪＲ,ＪＲ五能線
ＪＲ,ＪＲ京浜東北・根岸線快速
ＪＲ,ＪＲ京葉線
ＪＲ,ＪＲ京葉線快速
ＪＲ,ＪＲ仙山線
ＪＲ,ＪＲ仙石東北ライン快速
ＪＲ,ＪＲ仙石線
ＪＲ,ＪＲ伊東線
ＪＲ,ＪＲ伯備線(岡山-新見)
ＪＲ,ＪＲ伯備線(新見-米子)
ＪＲ,ＪＲ佐世保線
ＪＲ,ＪＲ信越本線(直江津-長岡)
ＪＲ,ＪＲ信越本線(篠ノ井-長野)
ＪＲ,ＪＲ信越本線(長岡-新潟)
ＪＲ,ＪＲ信越本線(高崎-横川)
ＪＲ,ＪＲ八戸線
ＪＲ,ＪＲ八高線(八王子-高麗川)
ＪＲ,ＪＲ八高線(高麗川-高崎)
ＪＲ,ＪＲ内子線
ＪＲ,ＪＲ内房線
ＪＲ,ＪＲ函館本線(函館-大沼)
ＪＲ,ＪＲ函館本線(大沼公園回り)
ＪＲ,ＪＲ函館本線(小樽-岩見沢)
ＪＲ,ＪＲ函館本線(岩見沢-旭川)
ＪＲ,ＪＲ函館本線(東森回り)
ＪＲ,ＪＲ函館本線(森-長万部)
ＪＲ,ＪＲ函館本線(長万部-小樽)
ＪＲ,ＪＲ加古川線(加古川-西脇市)
ＪＲ,ＪＲ加古川線(西脇市-谷川)
ＪＲ,ＪＲ北上線
ＪＲ,ＪＲ北陸本線(敦賀-福井)
ＪＲ,ＪＲ北陸本線(福井-金沢)
ＪＲ,ＪＲ北陸本線(米原-敦賀)
ＪＲ,ＪＲ千歳線
ＪＲ,ＪＲ南武線(尻手-浜川崎)
ＪＲ,ＪＲ南武線(川崎-立川)
ＪＲ,ＪＲ博多南線
ＪＲ,ＪＲ原田線
ＪＲ,ＪＲ参宮線
ＪＲ,ＪＲ只見線
ＪＲ,ＪＲ可部線
ＪＲ,ＪＲ吉備線
ＪＲ,ＪＲ吉都線
ＪＲ,ＪＲ名松線
ＪＲ,ＪＲ吾妻線
ＪＲ,ＪＲ呉線(三原-広)
ＪＲ,ＪＲ呉線(広-広島)
ＪＲ,ＪＲ和歌山線
ＪＲ,ＪＲ唐津線
ＪＲ,ＪＲ因美線(智頭-鳥取)
ＪＲ,ＪＲ因美線(津山-智頭)
ＪＲ,ＪＲ土讃線(琴平-阿波池田)
ＪＲ,ＪＲ土讃線(阿波池田-高知)
ＪＲ,ＪＲ土讃線(高松-琴平)
ＪＲ,ＪＲ土讃線(高知-窪川)
ＪＲ,ＪＲ城端線
ＪＲ,ＪＲ埼京・相鉄直通線
ＪＲ,ＪＲ埼京線
ＪＲ,ＪＲ埼京線(新宿-大崎)
ＪＲ,ＪＲ埼京線快速
ＪＲ,ＪＲ境線
ＪＲ,ＪＲ外房線
ＪＲ,ＪＲ大村線
ＪＲ,ＪＲ大湊線
ＪＲ,ＪＲ大糸線(南小谷-糸魚川)
ＪＲ,ＪＲ大糸線(松本-南小谷)
ＪＲ,ＪＲ大船渡線
ＪＲ,ＪＲ大船渡線ＢＲＴ(気仙沼-上鹿折)
ＪＲ,ＪＲ大船渡線ＢＲＴ(気仙沼-盛)
ＪＲ,ＪＲ大船渡線ＢＲＴ(陸前矢作-盛)
ＪＲ,ＪＲ大阪環状線内回り
ＪＲ,ＪＲ大阪環状線外回り
ＪＲ,ＪＲ太多線
ＪＲ,ＪＲ奈良線
ＪＲ,ＪＲ奥羽本線(大館-弘前)
ＪＲ,ＪＲ奥羽本線(山形-新庄)
ＪＲ,ＪＲ奥羽本線(弘前-青森)
ＪＲ,ＪＲ奥羽本線(新庄-秋田)
ＪＲ,ＪＲ奥羽本線(東能代-大館)
ＪＲ,ＪＲ奥羽本線(福島-米沢)
ＪＲ,ＪＲ奥羽本線(秋田-東能代)
ＪＲ,ＪＲ奥羽本線(米沢-山形)
ＪＲ,ＪＲ姫新線(佐用-津山)
ＪＲ,ＪＲ姫新線(姫路-佐用)
ＪＲ,ＪＲ姫新線(津山-新見)
ＪＲ,ＪＲ宇部線
ＪＲ,ＪＲ宇野線
ＪＲ,ＪＲ宗谷本線(名寄-稚内)
ＪＲ,ＪＲ宗谷本線(旭川-名寄)
ＪＲ,ＪＲ室蘭本線(室蘭-苫小牧)
ＪＲ,ＪＲ室蘭本線(苫小牧-岩見沢)
ＪＲ,ＪＲ室蘭本線(長万部-東室蘭)
ＪＲ,ＪＲ宮崎空港線
ＪＲ,ＪＲ富良野線
ＪＲ,ＪＲ寝台特急サンライズ出雲
ＪＲ,ＪＲ寝台特急サンライズ瀬戸
ＪＲ,ＪＲ小浜線
ＪＲ,ＪＲ小海線
ＪＲ,ＪＲ小野田線(宇部新川-小野田)
ＪＲ,ＪＲ小野田線(雀田-長門本山)
ＪＲ,ＪＲ山口線
ＪＲ,ＪＲ山手線内回り
ＪＲ,ＪＲ山手線外回り
ＪＲ,ＪＲ山田線(盛岡-宮古)
ＪＲ,ＪＲ山陰本線(京都-園部)
ＪＲ,ＪＲ山陰本線(出雲市-浜田)
ＪＲ,ＪＲ山陰本線(園部-福知山)
ＪＲ,ＪＲ山陰本線(浜坂-鳥取)
ＪＲ,ＪＲ山陰本線(浜田-益田)
ＪＲ,ＪＲ山陰本線(益田-長門市)
ＪＲ,ＪＲ山陰本線(福知山-豊岡)
ＪＲ,ＪＲ山陰本線(米子-出雲市)
ＪＲ,ＪＲ山陰本線(豊岡-浜坂)
ＪＲ,ＪＲ山陰本線(長門市-下関)
ＪＲ,ＪＲ山陰本線(長門市-仙崎)
ＪＲ,ＪＲ山陰本線(鳥取-米子)
ＪＲ,ＪＲ山陽本線(下関-小倉)
ＪＲ,ＪＲ山陽本線(兵庫-和田岬)
ＪＲ,ＪＲ山陽本線(姫路-岡山)
ＪＲ,ＪＲ山陽本線(岡山-岩国)
ＪＲ,ＪＲ山陽本線(岩国-下関)
ＪＲ,ＪＲ岩徳線
ＪＲ,ＪＲ川越線
ＪＲ,ＪＲ左沢線
ＪＲ,ＪＲ常磐線
ＪＲ,ＪＲ常磐線(いわき-原ノ町)
ＪＲ,ＪＲ常磐線(上野-水戸)
ＪＲ,ＪＲ常磐線(原ノ町-仙台)
ＪＲ,ＪＲ常磐線(水戸-いわき)
ＪＲ,ＪＲ常磐線快速
ＪＲ,ＪＲ弥彦線(吉田-弥彦)
ＪＲ,ＪＲ弥彦線(東三条-吉田)
ＪＲ,ＪＲ後藤寺線
ＪＲ,ＪＲ御殿場線
ＪＲ,ＪＲ徳島線
ＪＲ,ＪＲ快速ことぶき
ＪＲ,ＪＲ快速みえ
ＪＲ,ＪＲ快速アクティー
ＪＲ,ＪＲ快速アーバン
ＪＲ,ＪＲ快速エアポート
ＪＲ,ＪＲ快速シーサイドライナー
ＪＲ,ＪＲ快速マリンライナー
ＪＲ,ＪＲ快速ラビット
ＪＲ,ＪＲ快速安芸路ライナー
ＪＲ,ＪＲ成田線(千葉-銚子)
ＪＲ,ＪＲ成田線(我孫子-成田)
ＪＲ,ＪＲ成田線快速
ＪＲ,ＪＲ指宿枕崎線(山川-枕崎)
ＪＲ,ＪＲ指宿枕崎線(鹿児島中央-山川)
ＪＲ,ＪＲ播但線(姫路-寺前)
ＪＲ,ＪＲ播但線(寺前-和田山)
ＪＲ,ＪＲ新幹線あさま
ＪＲ,ＪＲ新幹線かがやき
ＪＲ,ＪＲ新幹線こだま(新大阪-博多)
ＪＲ,ＪＲ新幹線こだま(東京-新大阪)
ＪＲ,ＪＲ新幹線こまち
ＪＲ,ＪＲ新幹線さくら
ＪＲ,ＪＲ新幹線たにがわ
ＪＲ,ＪＲ新幹線つばさ
ＪＲ,ＪＲ新幹線つばめ
ＪＲ,ＪＲ新幹線つるぎ
ＪＲ,ＪＲ新幹線とき
ＪＲ,ＪＲ新幹線なすの
ＪＲ,ＪＲ新幹線のぞみ
ＪＲ,ＪＲ新幹線はくたか
ＪＲ,ＪＲ新幹線はやぶさ
ＪＲ,ＪＲ新幹線ひかり(東京-博多)
ＪＲ,ＪＲ新幹線みずほ
ＪＲ,ＪＲ新幹線やまびこ
ＪＲ,ＪＲ日光線
ＪＲ,ＪＲ日南線
ＪＲ,ＪＲ日田彦山線
ＪＲ,ＪＲ日豊本線(佐伯-宮崎)
ＪＲ,ＪＲ日豊本線(大分-佐伯)
ＪＲ,ＪＲ日豊本線(宮崎-鹿児島中央)
ＪＲ,ＪＲ日豊本線(門司港-大分)
ＪＲ,ＪＲ日高本線
ＪＲ,ＪＲ木次線
ＪＲ,ＪＲ札沼線
ＪＲ,ＪＲ東北本線(一ノ関-盛岡)
ＪＲ,ＪＲ東北本線(上野-宇都宮)
ＪＲ,ＪＲ東北本線(仙台-一ノ関)
ＪＲ,ＪＲ東北本線(宇都宮-黒磯)
ＪＲ,ＪＲ東北本線(岩切-利府)
ＪＲ,ＪＲ東北本線(福島-仙台)
ＪＲ,ＪＲ東北本線(黒磯-福島)
ＪＲ,ＪＲ東海道・山陽本線
ＪＲ,ＪＲ東海道・山陽本線快速
ＪＲ,ＪＲ東海道・山陽本線新快速
ＪＲ,ＪＲ東海道・福知山線
ＪＲ,ＪＲ東海道本線(大垣-米原)
ＪＲ,ＪＲ東海道本線(大垣-美濃赤坂)
ＪＲ,ＪＲ東海道本線(東京-品川)
ＪＲ,ＪＲ東海道本線(東京-熱海)
ＪＲ,ＪＲ東海道本線(浜松-豊橋)
ＪＲ,ＪＲ東海道本線(熱海-浜松)
ＪＲ,ＪＲ東海道本線(豊橋-岐阜)
ＪＲ,ＪＲ東海道本線快速
ＪＲ,ＪＲ東海道本線新快速
ＪＲ,ＪＲ東金線
ＪＲ,ＪＲ根室本線(帯広-釧路)
ＪＲ,ＪＲ根室本線(新得-帯広)
ＪＲ,ＪＲ根室本線(滝川-新得)
ＪＲ,ＪＲ根室本線(釧路-根室)
ＪＲ,ＪＲ桜井線
ＪＲ,ＪＲ横浜線
ＪＲ,ＪＲ横浜線快速
ＪＲ,ＪＲ横須賀線
ＪＲ,ＪＲ武蔵野線
ＪＲ,ＪＲ武豊線
ＪＲ,ＪＲ気仙沼線
ＪＲ,ＪＲ気仙沼線ＢＲＴ
ＪＲ,ＪＲ気仙沼線ＢＲＴ(本吉-気仙沼)
ＪＲ,ＪＲ水戸線
ＪＲ,ＪＲ水郡線(常陸大子-郡山)
ＪＲ,ＪＲ水郡線(水戸-常陸大子)
ＪＲ,ＪＲ水郡線(水戸-常陸太田)
ＪＲ,ＪＲ氷見線
ＪＲ,ＪＲ津山線
ＪＲ,ＪＲ津軽線
ＪＲ,ＪＲ湖西線(京都-永原)
ＪＲ,ＪＲ湖西線(近江今津-近江塩津)
ＪＲ,ＪＲ湘南新宿ライン
ＪＲ,ＪＲ湘南新宿ライン快速
ＪＲ,ＪＲ瀬戸大橋線
ＪＲ,ＪＲ烏山線
ＪＲ,ＪＲ片町・東西・東海道・山陽線
ＪＲ,ＪＲ片町・東西・福知山線快速
ＪＲ,ＪＲ牟岐線(徳島-阿南)
ＪＲ,ＪＲ牟岐線(牟岐-阿波海南)
ＪＲ,ＪＲ牟岐線(阿南-牟岐)
ＪＲ,ＪＲ特急あかぎ
ＪＲ,ＪＲ特急あしずり
ＪＲ,ＪＲ特急あずさ
ＪＲ,ＪＲ特急あそ
ＪＲ,ＪＲ特急いしづち
ＪＲ,ＪＲ特急いなほ
ＪＲ,ＪＲ特急うずしお
ＪＲ,ＪＲ特急おおぞら
ＪＲ,ＪＲ特急かいおう
ＪＲ,ＪＲ特急かいじ
ＪＲ,ＪＲ特急かもめ
ＪＲ,ＪＲ特急かわせみ・やませみ
ＪＲ,ＪＲ特急きぬがわ
ＪＲ,ＪＲ特急きのさき
ＪＲ,ＪＲ特急きらめき
ＪＲ,ＪＲ特急きりしま
ＪＲ,ＪＲ特急くろしお
ＪＲ,ＪＲ特急こうのとり
ＪＲ,ＪＲ特急さざなみ
ＪＲ,ＪＲ特急しおかぜ
ＪＲ,ＪＲ特急しおさい
ＪＲ,ＪＲ特急しなの
ＪＲ,ＪＲ特急しまんと
ＪＲ,ＪＲ特急しらさぎ
ＪＲ,ＪＲ特急しらゆき
ＪＲ,ＪＲ特急すずらん
ＪＲ,ＪＲ特急つがる
ＪＲ,ＪＲ特急とかち
ＪＲ,ＪＲ特急ときわ
ＪＲ,ＪＲ特急にちりん
ＪＲ,ＪＲ特急はしだて
ＪＲ,ＪＲ特急はまかぜ
ＪＲ,ＪＲ特急はやとの風
ＪＲ,ＪＲ特急はるか
ＪＲ,ＪＲ特急ひたち
ＪＲ,ＪＲ特急ひだ
ＪＲ,ＪＲ特急ひゅうが
ＪＲ,ＪＲ特急ふじかわ
ＪＲ,ＪＲ特急ふじさん
ＪＲ,ＪＲ特急まいづる
ＪＲ,ＪＲ特急みどり
ＪＲ,ＪＲ特急むろと
ＪＲ,ＪＲ特急やくも
ＪＲ,ＪＲ特急ゆふ
ＪＲ,ＪＲ特急ゆふいんの森
ＪＲ,ＪＲ特急わかしお
ＪＲ,ＪＲ特急オホーツク
ＪＲ,ＪＲ特急カムイ
ＪＲ,ＪＲ特急サロベツ
ＪＲ,ＪＲ特急サンダーバード
ＪＲ,ＪＲ特急スーパーいなば
ＪＲ,ＪＲ特急スーパーおき
ＪＲ,ＪＲ特急スーパーはくと
ＪＲ,ＪＲ特急スーパーまつかぜ
ＪＲ,ＪＲ特急ソニック
ＪＲ,ＪＲ特急ハウステンボス
ＪＲ,ＪＲ特急ライラック
ＪＲ,ＪＲ特急九州横断特急
ＪＲ,ＪＲ特急伊那路
ＪＲ,ＪＲ特急剣山
ＪＲ,ＪＲ特急北斗
ＪＲ,ＪＲ特急南紀
ＪＲ,ＪＲ特急南風
ＪＲ,ＪＲ特急大雪
ＪＲ,ＪＲ特急宇和海
ＪＲ,ＪＲ特急宗谷
ＪＲ,ＪＲ特急富士回遊
ＪＲ,ＪＲ特急成田エクスプレス
ＪＲ,ＪＲ特急指宿のたまて箱
ＪＲ,ＪＲ特急日光
ＪＲ,ＪＲ特急有明
ＪＲ,ＪＲ特急能登かがり火
ＪＲ,ＪＲ特急草津
ＪＲ,ＪＲ特急踊り子
ＪＲ,ＪＲ田沢湖線(田沢湖-大曲)
ＪＲ,ＪＲ田沢湖線(盛岡-田沢湖)
ＪＲ,ＪＲ男鹿線
ＪＲ,ＪＲ留萌本線(深川-留萌)
ＪＲ,ＪＲ白新線
ＪＲ,ＪＲ相模線
ＪＲ,ＪＲ石勝線(千歳-新夕張)
ＪＲ,ＪＲ石北本線(上川-遠軽)
ＪＲ,ＪＲ石北本線(北見-網走)
ＪＲ,ＪＲ石北本線(旭川-上川)
ＪＲ,ＪＲ石北本線(遠軽-北見)
ＪＲ,ＪＲ石巻線
ＪＲ,ＪＲ磐越東線
ＪＲ,ＪＲ磐越西線(会津若松-新津)
ＪＲ,ＪＲ磐越西線(郡山-会津若松)
ＪＲ,ＪＲ福北ゆたか線(折尾-直方)
ＪＲ,ＪＲ福北ゆたか線(直方-博多)
ＪＲ,ＪＲ福北ゆたか線快速
ＪＲ,ＪＲ福塩線(府中-三次)
ＪＲ,ＪＲ福塩線(福山-府中)
ＪＲ,ＪＲ福知山線快速
ＪＲ,ＪＲ筑肥線(唐津-伊万里)
ＪＲ,ＪＲ筑肥線(姪浜-西唐津)
ＪＲ,ＪＲ篠ノ井線
ＪＲ,ＪＲ米坂線
ＪＲ,ＪＲ紀勢本線(亀山-新宮)
ＪＲ,ＪＲ紀勢本線(和歌山-和歌山市)
ＪＲ,ＪＲ紀勢本線(和歌山-紀伊田辺)
ＪＲ,ＪＲ紀勢本線(紀伊田辺-新宮)
ＪＲ,ＪＲ紀州路快速
ＪＲ,ＪＲ総武本線
ＪＲ,ＪＲ総武線
ＪＲ,ＪＲ総武線快速
ＪＲ,ＪＲ美祢線(厚狭-長門市)
ＪＲ,ＪＲ羽越本線(新津-新発田)
ＪＲ,ＪＲ羽越本線(新発田-酒田)
ＪＲ,ＪＲ羽越本線(酒田-秋田)
ＪＲ,ＪＲ肥薩線(人吉-吉松)
ＪＲ,ＪＲ肥薩線(八代-人吉)
ＪＲ,ＪＲ肥薩線(吉松-隼人)
ＪＲ,ＪＲ舞鶴線
ＪＲ,ＪＲ花輪線
ＪＲ,ＪＲ芸備線(三次-広島)
ＪＲ,ＪＲ芸備線(備後落合-三次)
ＪＲ,ＪＲ芸備線(新見-備後落合)
ＪＲ,ＪＲ若松線
ＪＲ,ＪＲ草津線
ＪＲ,ＪＲ豊肥本線
ＪＲ,ＪＲ赤穂線
ＪＲ,ＪＲ越後線(吉田-新潟)
ＪＲ,ＪＲ越後線(柏崎-吉田)
ＪＲ,ＪＲ越美北線
ＪＲ,ＪＲ身延線
ＪＲ,ＪＲ釜石線
ＪＲ,ＪＲ釧網本線
ＪＲ,ＪＲ長崎本線
ＪＲ,ＪＲ長崎本線(諫早-長崎)
ＪＲ,ＪＲ関空快速
ＪＲ,ＪＲ関西本線
ＪＲ,ＪＲ関西本線(亀山-加茂)
ＪＲ,ＪＲ関西本線(名古屋-亀山)
ＪＲ,ＪＲ関西本線大和路快速
ＪＲ,ＪＲ関西本線快速
ＪＲ,ＪＲ阪和線(天王寺-和歌山)
ＪＲ,ＪＲ阪和線(鳳-東羽衣)
ＪＲ,ＪＲ阪和線区間快速
ＪＲ,ＪＲ陸羽東線(小牛田-鳴子)
ＪＲ,ＪＲ陸羽東線(鳴子-新庄)
ＪＲ,ＪＲ陸羽西線
ＪＲ,ＪＲ青梅線
ＪＲ,ＪＲ飯山線(戸狩野沢温泉越後川口)
ＪＲ,ＪＲ飯山線(豊野-戸狩野沢温泉)
ＪＲ,ＪＲ飯田線(天竜峡-岡谷)
ＪＲ,ＪＲ飯田線(豊橋-天竜峡)
ＪＲ,ＪＲ飯田線(豊橋-豊川)
ＪＲ,ＪＲ香椎線(香椎-宇美)
ＪＲ,ＪＲ香椎線(香椎-西戸崎)
ＪＲ,ＪＲ高山本線(下呂-高山)
ＪＲ,ＪＲ高山本線(岐阜-美濃太田)
ＪＲ,ＪＲ高山本線(猪谷-富山)
ＪＲ,ＪＲ高山本線(美濃太田-下呂)
ＪＲ,ＪＲ高山本線(高山-猪谷)
ＪＲ,ＪＲ高崎線(上野-高崎)
ＪＲ,ＪＲ高徳線
ＪＲ,ＪＲ鳴門線
ＪＲ,ＪＲ鶴見線(鶴見-大川)
ＪＲ,ＪＲ鶴見線(鶴見-扇町)
ＪＲ,ＪＲ鶴見線(鶴見-海芝浦)
ＪＲ,ＪＲ鹿児島本線(博多-熊本)
ＪＲ,ＪＲ鹿児島本線(川内-鹿児島中央)
ＪＲ,ＪＲ鹿児島本線(熊本-八代)
ＪＲ,ＪＲ鹿児島本線(門司港-博多)
ＪＲ,ＪＲ鹿児島本線快速
ＪＲ,ＪＲ鹿島線(佐原-鹿島神宮)
ＷＩＬＬＥＲ＿ＴＲＡＩＮＳ,京都丹後鉄道宮福線
ＷＩＬＬＥＲ＿ＴＲＡＩＮＳ,京都丹後鉄道宮舞線
ＷＩＬＬＥＲ＿ＴＲＡＩＮＳ,京都丹後鉄道宮豊線
